stasiun,pm10,so2,co,o3,no2,max,critical,categori
3.0,55.0,31.0,6.0,64.0,6.0,64.0,1.0,2.0
3.0,84.0,33.0,14.0,56.0,10.0,84.0,2.0,2.0
3.0,70.0,33.0,6.0,59.0,7.0,70.0,2.0,2.0
3.0,74.0,33.0,11.0,66.0,8.0,74.0,2.0,2.0
3.0,69.0,33.0,8.0,83.0,8.0,83.0,1.0,2.0
4.0,77.0,18.0,24.0,92.0,11.0,92.0,1.0,2.0
4.0,69.0,17.0,19.0,90.0,8.0,90.0,1.0,2.0
4.0,54.0,18.0,12.0,91.0,8.0,91.0,1.0,2.0
4.0,64.0,19.0,14.0,84.0,6.0,84.0,1.0,2.0
4.0,63.0,21.0,15.0,108.0,6.0,108.0,1.0,0.0
4.0,61.0,17.0,14.0,79.0,5.0,79.0,1.0,2.0
4.0,50.0,15.0,11.0,82.0,5.0,82.0,1.0,2.0
4.0,55.0,18.0,18.0,76.0,7.0,76.0,1.0,2.0
4.0,55.0,20.0,11.0,78.0,7.0,78.0,1.0,2.0
4.0,62.0,17.0,32.0,68.0,11.0,68.0,1.0,2.0
4.0,54.0,16.0,16.0,58.0,7.0,58.0,1.0,2.0
4.0,41.0,16.0,17.0,68.0,11.0,68.0,1.0,2.0
4.0,57.0,16.0,23.0,59.0,11.0,59.0,1.0,2.0
4.0,51.0,17.0,17.0,65.0,5.0,65.0,1.0,2.0
4.0,46.0,16.0,11.0,67.0,4.0,67.0,1.0,2.0
4.0,57.0,17.0,18.0,99.0,7.0,99.0,1.0,2.0
4.0,64.0,17.0,29.0,66.0,10.0,66.0,1.0,2.0
4.0,53.0,18.0,12.0,55.0,6.0,55.0,1.0,2.0
4.0,34.0,18.0,5.0,58.0,4.0,58.0,1.0,2.0
4.0,53.0,20.0,12.0,63.0,5.0,63.0,1.0,2.0
4.0,64.0,19.0,27.0,88.0,8.0,88.0,1.0,2.0
4.0,61.0,18.0,17.0,68.0,6.0,68.0,1.0,2.0
4.0,58.0,20.0,13.0,75.0,6.0,75.0,1.0,2.0
4.0,51.0,20.0,9.0,100.0,4.0,100.0,1.0,2.0
4.0,51.0,19.0,8.0,80.0,4.0,80.0,1.0,2.0
4.0,57.0,18.0,15.0,67.0,9.0,67.0,1.0,2.0
4.0,54.0,19.0,12.0,71.0,6.0,71.0,1.0,2.0
4.0,55.0,21.0,14.0,79.0,6.0,79.0,1.0,2.0
0.0,38.0,6.0,12.0,67.0,10.0,67.0,1.0,2.0
0.0,32.0,4.0,6.0,33.0,7.0,33.0,1.0,1.0
0.0,30.0,5.0,4.0,33.0,5.0,33.0,1.0,1.0
0.0,42.0,6.0,8.0,47.0,7.0,47.0,1.0,1.0
0.0,50.0,4.0,6.0,63.0,8.0,63.0,1.0,2.0
0.0,45.0,4.0,8.0,37.0,9.0,45.0,2.0,1.0
0.0,26.0,3.0,11.0,35.0,9.0,35.0,1.0,1.0
0.0,26.0,5.0,5.0,31.0,7.0,31.0,1.0,1.0
0.0,36.0,3.0,5.0,27.0,10.0,36.0,2.0,1.0
0.0,50.0,2.0,7.0,71.0,10.0,71.0,1.0,2.0
0.0,48.0,2.0,6.0,88.0,6.0,88.0,1.0,2.0
0.0,65.0,3.0,14.0,86.0,13.0,86.0,1.0,2.0
0.0,40.0,2.0,8.0,46.0,9.0,46.0,1.0,1.0
0.0,48.0,4.0,8.0,51.0,10.0,51.0,1.0,2.0
0.0,40.0,2.0,8.0,46.0,11.0,46.0,1.0,1.0
0.0,34.0,3.0,7.0,41.0,9.0,41.0,1.0,1.0
0.0,43.0,2.0,8.0,54.0,9.0,54.0,1.0,2.0
0.0,43.0,4.0,5.0,72.0,7.0,72.0,1.0,2.0
0.0,59.0,5.0,7.0,87.0,9.0,87.0,1.0,2.0
